metric,value
data_dir,/Users/alper/Datasets/wind_clean
metadata_rows,1966
clips_present,1966
clips_missing,0
duplicate_filenames,0
count_rms_below_-45.0dBFS,0
count_peak_ge_0.98,20
rms_dbfs_count,1966
rms_dbfs_min,-43.336645
rms_dbfs_p05,-29.98681375
rms_dbfs_median,-20.396377
rms_dbfs_p95,-17.872171
rms_dbfs_max,-13.439748
rms_dbfs_mean,-21.62673175483215
rms_dbfs_std,3.742555725224171
rms_err_db_count,1966
rms_err_db_min,-23.336644999999997
rms_err_db_p05,-9.98681375
rms_err_db_median,-0.3963770000000011
rms_err_db_p95,2.1278289999999993
rms_err_db_max,6.560252
rms_err_db_mean,-1.6267317548321463
rms_err_db_std,3.742555725224171
peak_count,1966
peak_min,0.034103
peak_p05,0.1843515
peak_median,0.435948
peak_p95,0.690864
peak_max,0.99
peak_mean,0.44190015920651066
peak_std,0.1498360340766072
duration_sec_count,1966
duration_sec_min,5.12
duration_sec_p05,5.12
duration_sec_median,5.12
duration_sec_p95,5.12
duration_sec_max,5.12
duration_sec_mean,5.119999999999999
duration_sec_std,8.884043905521977e-16
out_sr_count,1966
out_sr_min,22050.0
out_sr_p05,22050.0
out_sr_median,22050.0
out_sr_p95,22050.0
out_sr_max,22050.0
out_sr_mean,22050.0
out_sr_std,0.0
